"key","en"
"rupturedlngth:statname","Ruptured Length"
"bloodcurseddmg:statname","Blood Curse Damage"
"bloodcurseddmgrte:statname","Blood Curse Damage Rate"
"bloodcurseddefred:statname","Blood Curse Defense % Reduction"
"bloodcurseddmgred:statname","Blood Curse Damage % Reduction"
"bloodcursedlngth:statname","Blood Curse Length"
"auto_save:setting","Auto Save"
"language:setting","Language"
"dialogue:setting","Dialogue"
"resolution:setting","Resolution"
"fullscreen:setting","Fullscreen"
"postprocess:setting","Post Processing"
"masterV:setting","Master"
"musicV:setting","Music"
"effectV:setting","SFX"
"apply:setting","Apply"
"shift:key","Shift"
"escape:key","Escape"
"space:key","Space"
"sadness:emotion","Sadness"
"happiness:emotion","Happiness"
"anger:emotion","Anger"
"regret:emotion","Regret"
"sorrow:emotion","Sorrow"
"grief:emotion","Grief"
"gratitude:emotion","Gratitude"
"celebration:emotion","Celebration"
"excitement:emotion","Excitement"
"lament:emotion","Lament"
"revolt:emotion","Revolt"
"belligerence:emotion","Belligerence"
"denial:emotion","Denial"
"isolation:emotion","Isolation"
"anxiety:emotion","Anxiety"
"depression:emotion","Depression"
"cynicality:emotion","Cynicality"
"hospitality:emotion","Hospitality"
"lightheartedness:emotion","Lightheartedness"
"festivity:emotion","Festivity"
"zeal:emotion","Zeal"
"inspiration:emotion","Inspiration"
"hatred:emotion","Hatred"
"purpose:emotion","Purpose"
"rebellion:emotion","Rebellion"
"implacability:emotion","Implacability"
"sage:emotion","Sage"
"tranquil:emotion","Tranquil"
"control:emotion","Control"
"argument:emotion","Argument"
"defensepercent:statbonus","% Defense"
"attackspeedpercent:statbonus","% Attack Speed"
"damagepercent:statbonus","% Damage"
"hppercent:statbonus","% Max HP"
"debufflengthpercent:statbonus","% Debuff Length"
"defense:statbonus"," Defense"
"wild_spirit_0:mementobonus",""
"wild_spirit_1:mementobonus","Your Attacks Inflict Bleeding"
"wild_spirit_2:mementobonus","Your Attacks Inflict Bleeding"
"wild_spirit_3:mementobonus","Your Attacks Inflict Bleeding and Ruptured"
"wild_spirit_4:mementobonus","Your Attacks Inflict Bleeding, Ruptured, and Blood Curse"
"Left:bind","Move Left"
"Right:bind","Move Right"
"Jump:bind","Jump"
"Dash:bind","Dash"
"Inventory:bind","Inventory"
"Special:bind","Special Attack"
"Dialogue:bind","Advance Dialogue"
"Interact:bind","Interact"
"Attack:bind","Attack"
"one:slot","Slot One"
"two:slot","Slot Two"
"three:slot","Slot Three"
"four:slot","Slot Four"
"five:slot","Slot Five"
"use:tutorialtext","Use"
"Left:tutorialtext","To Move Left"
"Right:tutorialtext","To Move Right"
"Jump:tutorialtext","To Jump"
"Dash:tutorialtext","To Dash"
"Inventory:tutorialtext","To Open Inventory"
"Attack:tutorialtext","To Attack"
"Special:tutorialtext","To Special"
"Interact:tutorialtext","To Interact"
